Meeting,Committee,MotionN,Topic,Species,MotionDesc,Category,Timing,Ecosystem,How,Notes
March2026,Council,2,TimingTasks,Wreckfish,develop finalize and request info,tactical,routine,no,,start review of ITQ program
March2026,SEDAR,1,SEDAR,SpanishMackerel;KingMackerel;DolphinMSE,approve assessment ToRs,strategic,occasional,yes,"consider nonstationarity in Dolphin MSE, use citizen science data","consider nonstationarity in Dolphin MSE, use citizen science data"
March2026,SEDAR,2,SEDAR,All,approve name change,strategic,occasional,yes,expand scope include MSE and MP reviews,"SECAD: SEDAR, Catch Advice, and Data committee, reivews MSE, MPs, etc"
March2026,SG,1,Amendment 60,GrayTriggerfish,remove from action,tactical,routine,no,,
March2026,SG,2,Amendment 60,VermillionSnapper,remove trip limit,tactical,routine,no,,
March2026,SG,3,NewFramework,AllSnapperGrouper,initiate framework,strategic,occasional,maybe,consider ecosystem information in revising spawning special managment zones,remove sunset or extend sunset on spawning special management zones
March2026,SG,4,NewFramework,Gag;BlackGrouper;Scamp;YellowmouthGrouper,initiate framework,tactical,routine,no,,headboat limits 1 fishper 6 passengers
March2026,SG,,Amendment 61,AllSnapperGrouper,direction to staff,strategic,occasional,maybe,"alternatives for species that can be removed, managed as EC, and kept in FMP","alternatives for species that can be removed, managed as EC, and kept in FMP"
March2026,SG,5,NewFramework,BlackSeaBass,initiate framework,tactical,routine,maybe,consider ecosystem information for reopening nearshore closed areas and changing pot trip limit,consider reopenin nearshore closed areas and changing pot trip limit
March2026,SG,6,TimingTasks,AllSnapperGrouper,develop finalize and request info,both,both,maybe,"spawning special management zones, allocation review",spawning special managment zones
